module_name,function_name,lines_covered,lines_total,coverage_percent,last_tested,risk_score,missing_branches
analytics,validate,6,24,25.0,2025-08-01,0.5,0
reporting,validate,28,79,35.44,2025-08-26,0.99,1
analytics,list,67,113,59.29,2025-08-10,0.95,5
notifications,list,1,19,5.26,2025-08-18,0.2,4
notifications,get,10,163,6.13,2025-08-31,0.07,4
user,delete,158,162,97.53,2025-08-21,0.27,0
user,list,64,124,51.61,2025-09-12,0.93,3
notifications,get,24,31,77.42,2025-09-25,0.25,5
analytics,get,8,23,34.78,2025-09-07,0.45,3
auth,create,83,145,57.24,2025-08-04,0.18,2
auth,list,111,169,65.68,2025-08-08,0.13,1
notifications,delete,67,88,76.14,2025-08-11,0.3,0
analytics,delete,146,172,84.88,2025-09-02,0.2,3
invoice,create,36,169,21.3,2025-09-21,0.29,0
auth,update,36,103,34.95,2025-08-14,0.05,4
notifications,validate,45,45,100.0,2025-07-31,0.09,3
notifications,delete,30,91,32.97,2025-07-28,0.62,0
reporting,update,14,32,43.75,2025-07-10,0.31,4
invoice,delete,58,131,44.27,2025-07-23,0.45,1
auth,validate,152,188,80.85,2025-09-14,0.7,0
auth,create,107,148,72.3,2025-08-17,0.6,1
auth,list,66,102,64.71,2025-07-18,0.17,4
notifications,get,11,35,31.43,2025-09-23,0.68,5
invoice,validate,27,175,15.43,2025-08-02,0.64,1
invoice,get,50,80,62.5,2025-09-06,0.57,1
notifications,update,43,114,37.72,2025-09-16,0.18,4
user,validate,133,167,79.64,2025-07-21,0.4,5
invoice,delete,69,193,35.75,2025-06-30,0.64,2
user,delete,61,65,93.85,2025-09-11,0.13,4
invoice,validate,11,29,37.93,2025-07-03,0.52,5
invoice,delete,40,95,42.11,2025-08-03,0.62,4
reporting,delete,11,180,6.11,2025-07-25,0.4,0
notifications,create,139,142,97.89,2025-08-08,0.07,3
user,validate,70,115,60.87,2025-09-13,0.78,2
analytics,get,37,157,23.57,2025-07-14,0.78,0
user,get,131,135,97.04,2025-08-29,0.14,0
invoice,delete,100,143,69.93,2025-08-23,0.71,3
reporting,delete,32,36,88.89,2025-08-13,0.88,4
reporting,update,62,112,55.36,2025-08-05,0.96,5
invoice,delete,34,116,29.31,2025-08-31,0.42,2
analytics,update,0,27,0.0,2025-08-18,0.8,1
invoice,create,80,91,87.91,2025-07-06,0.43,4
analytics,validate,15,190,7.89,2025-08-08,0.83,1
user,update,28,84,33.33,2025-08-08,0.43,0
user,create,59,161,36.65,2025-09-08,0.77,1
user,get,59,75,78.67,2025-09-18,0.01,3
invoice,validate,48,76,63.16,2025-08-17,0.52,5
reporting,validate,3,66,4.55,2025-07-10,0.16,5
notifications,list,78,90,86.67,2025-08-28,0.27,0
invoice,validate,9,29,31.03,2025-07-22,0.17,1
reporting,list,94,115,81.74,2025-07-01,0.98,5
analytics,delete,52,184,28.26,2025-07-27,0.23,2
auth,update,9,93,9.68,2025-09-09,0.9,2
auth,update,21,157,13.38,2025-07-30,0.93,1
reporting,delete,8,170,4.71,2025-08-11,0.43,1
analytics,create,7,18,38.89,2025-09-20,0.35,1
reporting,list,92,109,84.4,2025-09-24,0.25,3
auth,update,4,11,36.36,2025-09-06,0.46,3
invoice,delete,87,166,52.41,2025-09-13,0.57,3
analytics,get,25,132,18.94,2025-06-28,0.33,2
reporting,get,14,78,17.95,2025-09-03,0.83,3
invoice,create,78,87,89.66,2025-07-17,0.58,1
notifications,list,9,30,30.0,2025-09-16,0.56,2
user,validate,84,91,92.31,2025-07-15,0.22,3
auth,list,60,100,60.0,2025-07-24,0.17,1
auth,create,36,51,70.59,2025-08-16,0.81,3
invoice,delete,58,118,49.15,2025-07-13,0.31,5
reporting,get,9,44,20.45,2025-09-16,0.24,1
reporting,create,24,30,80.0,2025-09-19,0.28,2
reporting,get,63,112,56.25,2025-09-01,0.54,0
notifications,create,48,160,30.0,2025-08-30,0.69,2
notifications,update,67,73,91.78,2025-09-08,0.42,3
analytics,update,5,81,6.17,2025-08-13,0.87,3
invoice,create,35,198,17.68,2025-08-19,0.41,5
invoice,validate,17,149,11.41,2025-07-16,0.23,5
user,list,98,190,51.58,2025-08-29,0.29,3
notifications,update,0,15,0.0,2025-09-09,0.91,3
notifications,delete,52,166,31.33,2025-07-26,0.28,5
analytics,get,104,183,56.83,2025-08-10,0.4,4
reporting,get,174,188,92.55,2025-07-13,0.98,0
notifications,update,19,40,47.5,2025-07-31,0.58,5
auth,create,29,66,43.94,2025-09-24,0.87,3
notifications,validate,116,187,62.03,2025-08-14,0.72,5
analytics,list,18,120,15.0,2025-09-18,0.72,2
user,create,84,159,52.83,2025-08-17,0.31,1
reporting,get,23,106,21.7,2025-07-17,0.46,0
notifications,delete,92,170,54.12,2025-07-21,0.28,1
notifications,create,133,179,74.3,2025-08-13,0.65,5
invoice,delete,142,183,77.6,2025-09-03,0.92,1
analytics,validate,118,171,69.01,2025-08-28,0.91,0
invoice,update,79,168,47.02,2025-09-15,0.63,4
invoice,create,11,85,12.94,2025-09-20,0.9,0
notifications,get,40,109,36.7,2025-08-31,0.12,5
reporting,get,34,85,40.0,2025-08-07,0.99,0
reporting,create,100,100,100.0,2025-08-06,0.47,3
reporting,delete,39,170,22.94,2025-09-15,0.52,4
invoice,delete,91,130,70.0,2025-07-03,0.7,1
invoice,update,3,85,3.53,2025-09-16,0.37,1
reporting,get,111,132,84.09,2025-08-18,0.26,5
auth,create,0,71,0.0,2025-08-12,0.78,5
notifications,delete,13,62,20.97,2025-09-21,0.58,0
analytics,validate,90,102,88.24,2025-09-08,0.46,2
invoice,delete,82,180,45.56,2025-07-28,0.28,0
invoice,delete,43,101,42.57,2025-08-24,0.43,0
auth,get,119,122,97.54,2025-08-26,0.22,0
reporting,list,56,88,63.64,2025-07-17,0.75,2
invoice,validate,163,183,89.07,2025-07-15,0.87,4
analytics,create,42,64,65.62,2025-07-19,0.89,4
invoice,list,46,122,37.7,2025-07-26,0.88,2
notifications,get,48,106,45.28,2025-07-05,0.22,3
user,list,36,88,40.91,2025-09-15,0.89,1
invoice,validate,31,102,30.39,2025-08-31,0.59,0
reporting,validate,15,55,27.27,2025-08-17,0.0,5
reporting,create,63,104,60.58,2025-09-18,0.83,4
user,list,53,85,62.35,2025-07-26,0.79,5
auth,validate,41,51,80.39,2025-08-21,0.56,2
auth,validate,29,59,49.15,2025-07-05,0.01,1
user,update,1,125,0.8,2025-08-11,0.32,1
user,delete,6,16,37.5,2025-08-22,0.53,0
auth,get,0,140,0.0,2025-09-25,0.15,5
reporting,delete,148,152,97.37,2025-08-02,0.13,1
analytics,get,28,42,66.67,2025-09-19,0.24,1
user,create,179,180,99.44,2025-07-09,0.73,2
auth,update,24,104,23.08,2025-07-15,0.5,2
invoice,get,18,18,100.0,2025-09-12,0.98,3
invoice,delete,56,160,35.0,2025-07-07,0.32,1
invoice,get,87,128,67.97,2025-07-17,0.07,0
invoice,get,41,77,53.25,2025-09-17,0.59,5
invoice,delete,74,79,93.67,2025-09-15,0.13,2
analytics,create,22,45,48.89,2025-07-12,0.3,4
reporting,delete,15,127,11.81,2025-09-23,0.6,5
notifications,create,119,134,88.81,2025-07-16,0.17,4
notifications,delete,61,97,62.89,2025-07-08,0.32,1
notifications,create,106,151,70.2,2025-08-31,0.64,0
user,list,14,52,26.92,2025-07-26,0.27,3
auth,delete,122,136,89.71,2025-06-27,0.79,0
user,delete,60,94,63.83,2025-07-21,0.78,3
invoice,get,15,106,14.15,2025-08-26,0.05,5
invoice,delete,3,149,2.01,2025-07-15,0.79,0
reporting,get,44,50,88.0,2025-09-03,0.37,4
user,create,29,43,67.44,2025-08-08,0.05,5
invoice,create,17,75,22.67,2025-09-14,0.86,0
invoice,get,10,61,16.39,2025-09-04,0.22,1
auth,get,12,56,21.43,2025-08-17,0.63,2
auth,update,137,198,69.19,2025-08-21,0.49,5
user,update,53,69,76.81,2025-08-20,0.04,4
analytics,create,73,158,46.2,2025-08-29,0.53,1
auth,delete,166,180,92.22,2025-08-08,0.63,1
notifications,update,37,90,41.11,2025-07-09,0.8,4
analytics,validate,62,165,37.58,2025-07-29,0.44,1
analytics,get,53,92,57.61,2025-07-29,0.81,0
user,create,28,34,82.35,2025-07-15,0.07,3
reporting,delete,34,116,29.31,2025-08-18,0.34,4
notifications,validate,104,139,74.82,2025-08-26,0.84,3
analytics,delete,113,115,98.26,2025-07-15,0.51,5
analytics,update,179,183,97.81,2025-08-26,0.78,3
auth,list,10,18,55.56,2025-07-19,0.66,2
invoice,create,37,134,27.61,2025-09-01,0.04,2
reporting,create,39,60,65.0,2025-07-20,0.27,2
reporting,update,18,85,21.18,2025-07-10,0.79,3
notifications,update,91,183,49.73,2025-08-11,0.48,5
analytics,delete,53,60,88.33,2025-08-24,0.49,0
invoice,list,32,33,96.97,2025-09-16,0.21,1
auth,get,42,174,24.14,2025-07-07,0.06,1
reporting,list,169,195,86.67,2025-08-29,0.04,3
auth,get,3,28,10.71,2025-07-18,0.33,2
invoice,get,4,69,5.8,2025-07-09,0.2,3
reporting,create,34,127,26.77,2025-08-14,0.31,5
user,validate,17,47,36.17,2025-07-10,0.51,2
user,get,5,143,3.5,2025-07-01,0.48,4
notifications,delete,82,148,55.41,2025-07-18,0.0,4
reporting,create,86,102,84.31,2025-09-20,0.44,1
reporting,create,162,167,97.01,2025-06-27,0.02,5
analytics,update,27,107,25.23,2025-08-22,0.22,5
user,update,127,191,66.49,2025-06-27,0.3,4
reporting,get,36,172,20.93,2025-07-10,0.92,1
invoice,delete,86,183,46.99,2025-07-11,0.08,0
user,update,12,161,7.45,2025-08-12,0.81,0
notifications,create,32,89,35.96,2025-08-19,0.96,4
reporting,delete,18,110,16.36,2025-08-01,0.54,5
user,list,11,84,13.1,2025-09-03,0.21,1
analytics,list,40,177,22.6,2025-09-09,0.67,4
invoice,get,49,137,35.77,2025-09-18,0.57,2
notifications,create,105,182,57.69,2025-08-16,0.08,2
invoice,update,113,182,62.09,2025-07-10,0.23,4
auth,validate,35,141,24.82,2025-07-09,0.76,2
analytics,update,30,125,24.0,2025-08-11,0.21,5
analytics,get,3,13,23.08,2025-07-03,0.35,2
notifications,update,6,186,3.23,2025-08-21,0.26,4
auth,get,31,149,20.81,2025-07-01,0.62,3
notifications,delete,70,101,69.31,2025-08-31,0.08,0
analytics,validate,109,127,85.83,2025-08-17,0.54,3
analytics,get,42,61,68.85,2025-08-10,0.0,4
user,list,32,43,74.42,2025-07-01,0.16,2
user,list,188,193,97.41,2025-08-04,0.94,3
user,create,8,35,22.86,2025-08-20,0.43,2
invoice,create,77,116,66.38,2025-07-22,0.22,2
reporting,create,39,111,35.14,2025-09-20,0.74,0
user,update,54,117,46.15,2025-08-23,0.36,5
reporting,delete,123,140,87.86,2025-07-24,0.07,5
notifications,delete,92,128,71.88,2025-07-18,0.03,3
invoice,get,31,112,27.68,2025-07-30,0.29,3
reporting,validate,101,180,56.11,2025-07-02,0.45,1
user,update,71,150,47.33,2025-09-15,0.38,2
auth,get,20,24,83.33,2025-07-03,0.84,2
auth,get,10,45,22.22,2025-07-12,0.52,0
analytics,create,8,86,9.3,2025-09-13,0.14,1
analytics,update,23,98,23.47,2025-06-29,0.87,0
user,delete,44,191,23.04,2025-09-20,0.35,1
analytics,get,121,198,61.11,2025-08-01,0.23,0
invoice,update,28,60,46.67,2025-07-26,0.41,4
invoice,list,30,52,57.69,2025-09-11,0.6,3
notifications,validate,39,86,45.35,2025-07-28,1.0,1
auth,list,21,35,60.0,2025-07-13,0.85,0
reporting,list,46,69,66.67,2025-07-10,0.43,5
user,get,35,35,100.0,2025-08-23,0.16,0
auth,validate,8,71,11.27,2025-09-16,0.58,5
notifications,delete,81,89,91.01,2025-07-01,0.74,4
analytics,list,88,90,97.78,2025-08-18,0.65,4
user,get,18,146,12.33,2025-09-02,0.12,3
analytics,validate,1,107,0.93,2025-07-17,0.2,2
reporting,validate,84,95,88.42,2025-08-02,0.28,5
user,validate,2,116,1.72,2025-07-05,0.46,2
auth,validate,87,167,52.1,2025-06-27,0.57,4
invoice,list,10,13,76.92,2025-08-02,0.52,3
auth,delete,32,58,55.17,2025-09-08,0.89,3
analytics,get,52,109,47.71,2025-07-26,0.14,3
auth,update,0,83,0.0,2025-07-06,0.59,3
user,validate,14,31,45.16,2025-08-15,0.7,3
reporting,create,37,194,19.07,2025-08-07,0.3,2
auth,update,22,163,13.5,2025-08-21,0.85,1
invoice,get,103,153,67.32,2025-09-10,0.57,4
notifications,validate,5,16,31.25,2025-07-15,0.77,4
invoice,get,38,89,42.7,2025-09-19,0.36,4
auth,get,156,160,97.5,2025-07-29,0.23,4
user,get,28,66,42.42,2025-09-10,0.31,4
notifications,get,5,40,12.5,2025-09-05,0.47,0
invoice,get,174,186,93.55,2025-08-27,0.27,3
reporting,update,69,132,52.27,2025-08-22,0.4,3
analytics,get,11,42,26.19,2025-07-14,0.34,1
invoice,create,123,179,68.72,2025-08-02,0.64,5
invoice,list,6,14,42.86,2025-09-25,0.3,3
reporting,create,27,149,18.12,2025-07-28,0.73,4
reporting,list,74,147,50.34,2025-07-20,0.58,5
user,validate,83,136,61.03,2025-08-23,0.05,4
auth,create,0,91,0.0,2025-07-25,0.51,4
reporting,create,68,93,73.12,2025-09-20,0.0,4
auth,create,60,85,70.59,2025-09-06,0.45,0
user,list,124,134,92.54,2025-07-11,0.11,0
user,create,107,120,89.17,2025-08-06,0.7,3
notifications,delete,106,124,85.48,2025-07-04,0.82,3
user,validate,54,136,39.71,2025-07-22,0.96,4
auth,create,0,48,0.0,2025-07-03,0.02,2
analytics,validate,165,184,89.67,2025-09-18,0.5,3
auth,delete,43,130,33.08,2025-07-22,0.76,0
invoice,delete,72,149,48.32,2025-07-17,0.91,5
user,delete,21,80,26.25,2025-08-08,0.17,2
analytics,update,100,153,65.36,2025-07-22,0.36,0
analytics,delete,23,106,21.7,2025-09-11,0.02,1
user,validate,24,66,36.36,2025-08-05,0.06,4
notifications,create,5,17,29.41,2025-07-19,0.65,2
analytics,create,52,88,59.09,2025-08-19,0.32,4
reporting,get,21,42,50.0,2025-09-20,0.8,2
invoice,update,20,82,24.39,2025-08-11,0.12,2
reporting,create,12,16,75.0,2025-07-03,0.04,5
notifications,validate,70,96,72.92,2025-08-29,0.81,2
user,update,100,145,68.97,2025-09-06,0.29,0
auth,create,127,156,81.41,2025-09-16,0.06,4
notifications,list,57,127,44.88,2025-07-10,0.15,3
auth,create,14,177,7.91,2025-07-14,0.93,5
user,delete,9,10,90.0,2025-09-22,0.09,3
reporting,create,51,100,51.0,2025-08-19,0.42,5
notifications,get,59,116,50.86,2025-08-07,0.12,0
user,get,5,52,9.62,2025-09-10,0.51,0
notifications,create,51,100,51.0,2025-06-30,0.58,0
auth,get,7,142,4.93,2025-09-05,0.38,2
invoice,delete,39,131,29.77,2025-09-12,0.28,3
user,validate,70,189,37.04,2025-09-23,0.82,5
analytics,get,123,125,98.4,2025-08-29,0.24,2
notifications,delete,71,183,38.8,2025-09-02,0.02,1
auth,get,22,61,36.07,2025-08-20,0.87,3
notifications,list,34,107,31.78,2025-08-24,0.4,5
analytics,validate,96,125,76.8,2025-08-21,0.98,5
analytics,validate,16,70,22.86,2025-08-27,0.86,4
invoice,get,58,102,56.86,2025-08-06,0.23,2
notifications,list,77,98,78.57,2025-08-15,0.24,2
analytics,list,16,24,66.67,2025-07-02,0.58,5
notifications,delete,49,89,55.06,2025-07-25,0.6,4
notifications,get,13,46,28.26,2025-09-24,0.56,2
reporting,get,93,143,65.03,2025-06-30,0.98,4
invoice,update,147,153,96.08,2025-08-09,0.88,4
auth,list,102,191,53.4,2025-08-05,0.0,0
analytics,list,17,52,32.69,2025-08-16,0.08,4
reporting,list,21,25,84.0,2025-07-10,0.44,3
reporting,update,23,39,58.97,2025-08-07,0.1,0
auth,delete,147,186,79.03,2025-07-22,0.32,0
reporting,delete,2,27,7.41,2025-08-26,0.91,3
auth,get,174,183,95.08,2025-08-13,0.45,2
analytics,create,3,151,1.99,2025-08-13,0.79,5
notifications,delete,86,94,91.49,2025-07-06,0.55,5
notifications,get,52,53,98.11,2025-08-29,0.25,5
user,get,113,150,75.33,2025-07-19,0.44,4
user,create,72,193,37.31,2025-08-16,0.58,4
analytics,create,0,21,0.0,2025-09-05,0.76,2
reporting,list,69,85,81.18,2025-08-14,0.81,2
user,create,9,104,8.65,2025-07-06,0.43,0
auth,validate,105,153,68.63,2025-08-24,0.69,4
reporting,validate,10,147,6.8,2025-08-19,0.86,2
analytics,get,6,184,3.26,2025-07-29,0.54,0
notifications,validate,10,95,10.53,2025-07-19,0.01,4
analytics,list,6,60,10.0,2025-09-20,0.88,0
notifications,create,61,125,48.8,2025-08-03,0.19,2
auth,validate,35,163,21.47,2025-07-09,0.52,1
auth,get,8,13,61.54,2025-07-29,0.45,5
invoice,validate,1,118,0.85,2025-08-07,0.96,4
notifications,validate,3,178,1.69,2025-07-21,0.59,4
user,create,74,195,37.95,2025-08-11,0.03,1
user,list,13,49,26.53,2025-09-05,0.61,2
user,list,18,155,11.61,2025-09-15,0.07,1
user,validate,143,181,79.01,2025-08-09,0.27,3
analytics,validate,152,193,78.76,2025-08-09,0.92,0
invoice,list,46,121,38.02,2025-06-28,0.2,3
reporting,get,105,119,88.24,2025-07-07,0.56,3
user,delete,8,61,13.11,2025-09-02,0.91,4
reporting,delete,77,168,45.83,2025-09-16,0.31,5
user,delete,1,10,10.0,2025-09-13,0.57,4
invoice,create,140,192,72.92,2025-08-03,0.13,3
user,update,3,107,2.8,2025-08-01,0.23,0
user,get,2,145,1.38,2025-08-05,0.31,3
user,delete,15,47,31.91,2025-07-22,0.04,0
auth,get,8,16,50.0,2025-08-12,0.76,3
auth,get,65,155,41.94,2025-07-27,0.09,4
analytics,update,58,162,35.8,2025-09-19,0.58,2
invoice,list,149,169,88.17,2025-09-06,0.54,4
user,get,10,82,12.2,2025-08-04,0.2,2
reporting,get,67,172,38.95,2025-07-03,0.51,3
reporting,list,113,153,73.86,2025-07-14,0.77,3
user,list,77,166,46.39,2025-09-07,0.12,2
user,delete,134,134,100.0,2025-09-11,0.83,4
user,list,71,177,40.11,2025-09-02,0.35,2
auth,validate,8,16,50.0,2025-07-18,0.15,2
notifications,list,31,166,18.67,2025-07-24,0.41,2
reporting,delete,24,52,46.15,2025-08-24,0.13,5
notifications,delete,85,193,44.04,2025-07-08,0.14,2
analytics,update,19,139,13.67,2025-06-28,0.68,3
invoice,delete,41,45,91.11,2025-09-08,0.77,3
invoice,list,15,16,93.75,2025-07-23,0.61,5
auth,list,30,59,50.85,2025-07-13,0.03,1
auth,create,15,20,75.0,2025-08-17,0.27,4
user,list,72,159,45.28,2025-07-09,0.17,2
notifications,list,1,158,0.63,2025-09-11,0.22,3
invoice,validate,58,77,75.32,2025-08-19,0.28,3
auth,delete,14,18,77.78,2025-09-05,0.9,4
analytics,update,1,15,6.67,2025-08-24,0.35,1
analytics,delete,32,195,16.41,2025-08-29,0.38,1
invoice,validate,111,162,68.52,2025-08-21,0.37,0
auth,get,25,34,73.53,2025-08-25,0.53,3
notifications,validate,99,141,70.21,2025-09-21,0.04,2
auth,delete,167,186,89.78,2025-08-19,0.38,0
analytics,get,33,117,28.21,2025-07-14,0.64,4
analytics,delete,107,114,93.86,2025-08-16,0.61,0
user,delete,35,93,37.63,2025-09-13,0.39,3
reporting,validate,29,173,16.76,2025-08-01,0.43,3
reporting,get,4,69,5.8,2025-08-04,0.75,4
invoice,get,149,152,98.03,2025-09-17,0.58,0
invoice,update,1,80,1.25,2025-07-20,0.9,5
reporting,create,14,65,21.54,2025-07-21,0.27,0
reporting,delete,20,94,21.28,2025-07-12,0.97,5
user,delete,73,120,60.83,2025-07-07,0.22,0
auth,delete,72,96,75.0,2025-09-15,0.74,2
reporting,delete,7,37,18.92,2025-09-02,0.1,4
reporting,list,49,157,31.21,2025-09-20,0.26,1
analytics,validate,92,118,77.97,2025-09-14,0.42,3
invoice,create,184,196,93.88,2025-07-08,0.57,5
auth,list,9,20,45.0,2025-07-21,0.26,5
analytics,update,25,191,13.09,2025-07-07,0.86,1
user,create,57,155,36.77,2025-09-22,0.02,2
reporting,validate,36,54,66.67,2025-08-30,0.24,5
notifications,list,3,89,3.37,2025-08-19,0.72,4
notifications,update,29,112,25.89,2025-07-02,0.92,1
notifications,delete,95,123,77.24,2025-06-29,0.06,2
analytics,validate,3,170,1.76,2025-08-13,0.11,0
auth,list,7,175,4.0,2025-08-31,0.08,0
auth,get,71,186,38.17,2025-09-13,0.04,5
analytics,validate,75,88,85.23,2025-08-31,0.22,4
auth,delete,75,191,39.27,2025-09-22,0.78,5
reporting,get,78,189,41.27,2025-09-24,0.3,4
reporting,list,7,146,4.79,2025-09-07,0.95,1
user,get,91,124,73.39,2025-09-04,0.19,1
invoice,delete,10,83,12.05,2025-09-01,0.86,2
notifications,update,54,200,27.0,2025-07-21,0.03,3
invoice,validate,6,50,12.0,2025-09-21,0.34,5
invoice,update,90,118,76.27,2025-08-09,0.24,1
user,update,6,18,33.33,2025-07-16,0.31,3
auth,create,8,13,61.54,2025-07-06,0.23,2
invoice,get,13,85,15.29,2025-06-30,0.87,3
user,update,0,156,0.0,2025-08-05,0.14,1
reporting,list,65,178,36.52,2025-08-10,0.96,4
analytics,list,23,35,65.71,2025-09-02,0.93,0
reporting,delete,92,153,60.13,2025-09-13,0.08,3
user,update,4,16,25.0,2025-08-17,0.13,3
analytics,validate,21,121,17.36,2025-08-31,0.6,3
reporting,list,62,179,34.64,2025-09-25,0.68,0
auth,validate,11,17,64.71,2025-08-21,0.48,0
auth,delete,38,72,52.78,2025-08-02,0.82,5
notifications,get,94,135,69.63,2025-07-04,0.69,2
notifications,update,29,69,42.03,2025-07-28,0.33,3
invoice,get,47,149,31.54,2025-09-11,0.35,4
notifications,validate,7,30,23.33,2025-08-09,0.32,2
user,create,29,195,14.87,2025-08-21,0.72,4
analytics,list,26,151,17.22,2025-07-06,0.43,5
user,update,79,86,91.86,2025-08-14,0.55,3
invoice,validate,3,106,2.83,2025-07-21,0.05,4
analytics,update,1,20,5.0,2025-09-24,0.76,5
auth,get,17,21,80.95,2025-08-15,0.84,0
analytics,validate,35,56,62.5,2025-09-21,0.43,4
auth,update,12,68,17.65,2025-08-30,0.43,4
auth,create,48,91,52.75,2025-08-02,0.41,4
analytics,get,55,86,63.95,2025-07-09,0.58,0
user,get,2,11,18.18,2025-08-01,0.65,5
notifications,create,108,191,56.54,2025-09-16,0.35,0
invoice,update,106,178,59.55,2025-09-08,0.61,2
reporting,validate,115,117,98.29,2025-08-29,0.01,3
invoice,delete,74,108,68.52,2025-09-05,0.09,5
invoice,update,63,139,45.32,2025-07-24,0.65,1
analytics,update,35,58,60.34,2025-09-05,0.85,3
analytics,get,21,23,91.3,2025-08-12,0.17,4
notifications,create,163,200,81.5,2025-06-28,0.08,5
notifications,delete,188,188,100.0,2025-07-20,0.92,1
user,get,21,28,75.0,2025-09-05,0.91,3
auth,update,15,57,26.32,2025-09-14,0.09,1
reporting,update,176,199,88.44,2025-07-27,0.09,4
notifications,validate,139,147,94.56,2025-09-15,0.49,3
analytics,validate,52,81,64.2,2025-09-11,0.82,3
invoice,list,80,180,44.44,2025-09-04,0.31,2
invoice,validate,133,162,82.1,2025-08-14,0.64,4
auth,get,79,120,65.83,2025-06-28,0.71,2
invoice,update,100,100,100.0,2025-08-05,0.96,3
analytics,update,5,196,2.55,2025-07-11,0.76,2
user,get,76,78,97.44,2025-08-29,0.25,2
invoice,list,68,102,66.67,2025-09-18,0.5,2
user,update,49,125,39.2,2025-09-05,0.43,2
reporting,list,7,15,46.67,2025-08-08,0.46,2
user,update,11,34,32.35,2025-09-12,0.56,4
analytics,update,115,200,57.5,2025-07-23,0.35,5
user,delete,108,120,90.0,2025-07-02,0.03,1
invoice,validate,70,91,76.92,2025-07-08,0.84,1
user,validate,54,57,94.74,2025-08-01,0.7,5
user,create,11,67,16.42,2025-08-25,0.88,0
user,delete,168,190,88.42,2025-07-22,0.34,5
user,create,9,155,5.81,2025-07-21,0.97,3
reporting,update,116,117,99.15,2025-09-05,0.79,3
notifications,create,26,195,13.33,2025-09-10,0.23,2
notifications,get,120,180,66.67,2025-09-07,0.42,4
notifications,delete,186,199,93.47,2025-09-20,0.36,3
reporting,get,45,162,27.78,2025-08-09,0.21,4
user,create,58,85,68.24,2025-08-03,0.83,0
analytics,validate,103,118,87.29,2025-08-02,0.45,5
reporting,get,12,32,37.5,2025-09-16,0.19,5
reporting,list,21,152,13.82,2025-08-29,0.7,5
invoice,validate,149,177,84.18,2025-07-26,0.2,0
invoice,list,178,185,96.22,2025-09-23,0.15,2
analytics,delete,80,109,73.39,2025-09-10,0.75,2
user,get,137,189,72.49,2025-09-16,0.59,0
analytics,validate,85,171,49.71,2025-08-05,0.75,5
user,get,9,64,14.06,2025-08-13,0.62,1
reporting,delete,57,67,85.07,2025-07-18,0.3,4
notifications,update,57,171,33.33,2025-08-28,0.49,4
reporting,update,79,170,46.47,2025-07-25,0.64,4
analytics,get,88,151,58.28,2025-06-27,0.57,1
reporting,delete,2,21,9.52,2025-07-04,0.03,1
invoice,update,98,107,91.59,2025-06-28,0.7,0
invoice,get,94,127,74.02,2025-08-12,0.36,4
invoice,delete,35,45,77.78,2025-08-05,0.11,0
notifications,validate,20,165,12.12,2025-07-02,0.36,0
reporting,create,28,39,71.79,2025-09-19,0.55,5
invoice,create,11,175,6.29,2025-09-21,0.16,4
auth,list,46,175,26.29,2025-08-08,0.43,4
reporting,create,45,72,62.5,2025-09-03,0.95,0
reporting,validate,62,63,98.41,2025-09-22,0.6,3
user,create,1,12,8.33,2025-08-18,0.2,4
user,update,84,93,90.32,2025-07-13,0.88,3
analytics,delete,13,154,8.44,2025-08-20,0.38,3
